"","ï..License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
"302",2197995,"FARM WINERY",302,"FW","Albany",2,"JEFFERSON","GRINDSTONE ISLAND WINERY CORP","","42811 SCHOOL HOUSE RD","GRINDSTONE ISLAND","CLAYTON","NY",13624,895025,2015-01-08,2018-01-01,2020-12-31,44.28605,-76.0986,"(44.28605, -76.0986)"
"303",2117854,"FARM WINERY",302,"FW","Albany",2,"JEFFERSON","THOUSAND ISLANDS WINERY LLC","THOUSAND ISLANDS WINERY","43298 SEAWAY AVE SUITE #1","","ALEXANDRIA BAY","NY",13607,913774,2003-11-25,2019-05-01,2022-04-30,44.29304343,-75.98297363,"(44.29304343, -75.98297363)"
"305",2607022,"FARM WINERY",302,"FW","Albany",2,"JEFFERSON","COYOTE MOON LLC","COYOTE MOON VINEYARDS","17371 COUNTY ROUTE 3","","CLAYTON","NY",13624,914388,2009-04-10,2019-04-01,2022-03-31,44.23821833,-76.01606704,"(44.23821833, -76.01606704)"
"306",2211651,"MICRO BREWER",101,"MI","Albany",2,"JEFFERSON","BOOTS BREWING COMPANY INC","","89 PUBLIC SQ","","WATERTOWN","NY",13601,914658,2018-05-24,2019-05-01,2020-04-30,43.97485,-75.90891,"(43.97485, -75.90891)"
"307",2211992,"MICRO BREWER",101,"MI","Albany",2,"JEFFERSON","RIVER HENS LLC","GARLAND CITY BEER WORKS","321 HOWK ST","","WATERTOWN","NY",13601,919713,2018-08-30,2019-08-01,2020-07-31,43.98093,-75.91851,"(43.98093, -75.91851)"
"308",2160203,"MICRO BREWER",101,"MI","Albany",2,"JEFFERSON","SACKETS HARBOR BREW PUB LLC","SACKETS HARBOR BREWING COMPANY","212 W MAIN ST","","SACKETS HARBOR","NY",13685,913811,2011-03-17,2019-03-06,2020-02-29,43.9472895,-76.12068874,"(43.9472895, -76.12068874)"
"309",1281413,"BREWER",101,"D","New York City",1,"KINGS","AMERICAN CRAFT BREWERY LLC","CONEY ISLAND BREWING COMPANY","1904 SURF AVE RETAIL THREE","","BROOKLYN","NY",11224,918971,2015-06-23,2019-07-01,2020-06-30,40.57504,-73.98557,"(40.57504, -73.98557)"
"310",1010943,"BREWER",101,"D","New York City",1,"KINGS","BROOKLYN BREWERY CORP,THE","THE BROOKLYN BREWERY","79 N 11TH STREET","","BROOKLYN","NY",11249,919182,NA,2019-07-01,2020-06-30,40.72174011,-73.95797497,"(40.72174011, -73.95797497)"
"311",1257588,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","VAN BRUNT STILLHOUSE LLC","","6 BAY ST 1ST FL","OTSEGO & SIGOURNEY STREETS","BROOKLYN","NY",11231,897033,2012-01-31,2018-02-21,2020-12-31,40.67373651,-74.01005811,"(40.67373651, -74.01005811)"
"312",1312233,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","PROOF OF CONCEPT LLC","","86 34TH ST","C134","BROOKLYN","NY",11232,999999,2018-10-03,2018-12-01,2021-11-30,40.7588,-73.92481,"(40.7588, -73.92481)"
"313",1296030,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","SADDEN BROTHERS & CO DISTILLING CORP","","69 POWELL ST","","BROOKLYN","NY",11212,889355,2017-05-18,2017-05-18,2020-04-30,40.6729,-73.90464,"(40.6729, -73.90464)"
"314",1236028,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","NEW YORK DISTILLING COMPANY LLC","NEW YORK DISTILLING","405 LEONARD STREET","RICHARDSON & BAYARD STREETS","BROOKLYN","NY",11222,891938,2011-08-09,2017-08-01,2020-07-31,40.71855442,-73.94851072,"(40.71855442, -73.94851072)"
"315",1285158,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","BEN FRANKLIN DISTILLERY LLC","","5304 NEW UTRECHT AVE","UNIT 317-320","BROOKLYN","NY",11219,911319,2015-12-02,2018-12-11,2021-11-30,40.63313,-73.99545,"(40.63313, -73.99545)"
"316",1290949,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","HEIGHTS DISTILLING COMPANY INC","","63 FLUSHING AVE SUITE 223","UNIT 329 BKLYN NAV YRD BLDG280","BROOKLYN","NY",11205,912329,2016-01-25,2019-01-01,2021-12-31,40.69823,-73.97516,"(40.69823, -73.97516)"
"317",1294888,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","MOTO SPIRITS LLC","VRW DISTILLERS","5 CENTRAL AVE","SUITE 10","BROOKLYN","NY",11206,919668,2016-08-18,2019-08-01,2022-07-31,40.70263,-73.93291,"(40.70263, -73.93291)"
"318",1272074,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","STANDARD SPIRIT CORPORATION","STANDARD SPIRIT DISTILLERY","630 FLUSHING AVE","STE 650","BROOKLYN","NY",11206,999999,2013-09-25,2019-09-01,2022-08-31,40.69999322,-73.94828041,"(40.69999322, -73.94828041)"
"319",1289895,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","KINGS COUNTY DISTILLERY LLC","","63 FLUSHING AVE","BROOKLYN NAVY YARD BLDG 121","BROOKLYN","NY",11205,999999,2016-05-09,2016-05-09,2022-04-30,40.69823,-73.97516,"(40.69823, -73.97516)"
"320",1259583,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","INDUSTRY CITY DISTILLERY INC","","33 35TH ST","BLDG 5 6TH FL  SUITE 6A SOUTH","BROOKLYN","NY",11232,896668,2012-02-03,2018-02-06,2021-01-31,40.6571926,-74.00766451,"(40.6571926, -74.00766451)"
"321",1255727,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","GREEN FARMS II LLC","GREENHOOK GINSMITHS","208 DUPONT STREET","MCGUINNESS BLVD & PROVOST ST","BROOKLYN","NY",11222,893099,2011-10-27,2017-10-01,2020-09-30,40.73614003,-73.95179085,"(40.73614003, -73.95179085)"
"322",1246881,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","WIDOW JANE DISTILLERIES LLC","","216 218 CONOVER ST","","BROOKLYN","NY",11231,898090,2011-10-27,2018-03-28,2020-09-30,40.67722296,-74.01534809,"(40.67722296, -74.01534809)"
"323",1290991,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","DISRUPTION GRAIN LLC","INTERBORO SPIRITS & ALES","942 GRAND ST","","BROOKLYN","NY",11211,919326,2016-07-28,2019-07-01,2022-06-30,40.71272,-73.93697,"(40.71272, -73.93697)"
"324",1286188,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","BITTER THIEVES LLC","FORTHAVE SPIRITS","630 FLUSHING AVE","","BROOKLYN","NY",11206,902635,2015-09-01,2018-09-01,2021-08-31,40.69994,-73.94827,"(40.69994, -73.94827)"
"325",1299025,"DISTILLER ""A-1""",206,"DA","New York City",1,"KINGS","DOC'S SPIRITS LLC","DOC HERSON'S NATURAL SPIRITS","630 FLUSHING AVE","STE 628","BROOKLYN","NY",11206,886398,2017-02-10,2017-02-10,2020-01-31,40.69989,-73.94819,"(40.69989, -73.94819)"
"326",1297848,"DISTILLER ""B-1""",205,"DB","New York City",1,"KINGS","BROOKLYN SPIRITS LLC","","1827 PACIFIC ST","","BROOKLYN","NY",11233,886343,2017-01-26,2017-01-26,2019-08-31,40.67662,-73.92881,"(40.67662, -73.92881)"
"327",1311612,"DISTILLER ""B-1""",205,"DB","New York City",1,"KINGS","L'ORGEAT INC","HIGH HAT SPIRITS","71 VAN BRUNT ST","","BROOKLYN","NY",11231,849316,2018-09-13,2018-09-13,2021-08-31,40.68601,-74.00451,"(40.68601, -74.00451)"
"328",1298020,"DISTILLER ""B-1""",205,"DB","New York City",1,"KINGS","COUNTRY HONK LLC","FIRMA LEGAL","1027 GRAND ST","BASEMENT LEVEL STUDIO A","BROOKLYN","NY",11211,889266,2017-05-02,2017-05-02,2020-04-30,40.71364,-73.93423,"(40.71364, -73.93423)"
"329",1290992,"FARM BREWER",106,"FD","New York City",1,"KINGS","DISRUPTION GRAIN LLC","INTERBORO SPIRITS & ALES","942 GRAND ST","","BROOKLYN","NY",11211,919337,2016-07-28,2019-07-01,2020-06-30,40.71272,-73.93697,"(40.71272, -73.93697)"
"330",1310131,"FARM BREWER",106,"FD","New York City",1,"KINGS","BRAVEN BREWING COMPANY LLC","","52 HARRISON PL","","BROOKLYN","NY",11237,999999,2018-08-14,2018-08-14,2021-07-31,40.70634,-73.93136,"(40.70634, -73.93136)"
"331",1314052,"FARM BREWER",106,"FD","New York City",1,"KINGS","DALEVIEW LLC","DALEVIEW BREWERY","1170 NOSTRAND AVE","CELLAR","BROOKLYN","NY",11225,903947,2019-03-08,2019-03-08,2020-02-28,40.65893,-73.95064,"(40.65893, -73.95064)"
"332",1307278,"FARM BREWER",106,"FD","New York City",1,"KINGS","5 BOROUGHS BREWERY INC","FIVE BOROUGHS BREWING CO","215 47TH ST","","BROOKLYN","NY",11220,999999,2018-01-29,2018-01-29,2020-12-31,40.67144,-73.93352,"(40.67144, -73.93352)"
"333",1286968,"FARM BREWER",106,"FD","New York City",1,"KINGS","STRONG ROPE BREWERY LLC","STRONG ROPE BREWERY","574A PRESIDENT ST","","BROOKLYN","NY",11215,909214,2015-11-19,2018-11-01,2019-10-31,40.67684,-73.98379,"(40.67684, -73.98379)"
"334",1296141,"FARM BREWER",106,"FD","New York City",1,"KINGS","KINGS COUNTY BREWERS COLLECTIVE LLC","","381 TROUTMAN ST","","BROOKLYN","NY",11237,999999,2016-08-22,2018-08-01,2020-07-31,40.70601,-73.92358,"(40.70601, -73.92358)"
"335",1275174,"FARM BREWER",106,"FD","New York City",1,"KINGS","OTHER HALF BREWING COMPANY INC","","195 CENTRE ST","AKA 191-197 CENTRE ST ETAL","BROOKLYN","NY",11231,999999,2014-01-07,2018-05-01,2021-04-30,40.67366514,-73.99909135,"(40.67366514, -73.99909135)"
"336",1297587,"FARM BREWER",106,"FD","New York City",1,"KINGS","ISLAND TO ISLAND BREWERY CORP","HOUSE OF JUICE","642 ROGERS AVE","","BROOKLYN","NY",11226,913466,2017-01-11,2019-01-10,2019-12-31,40.65582,-73.95318,"(40.65582, -73.95318)"
"337",1298440,"FARM BREWER",106,"FD","New York City",1,"KINGS","GRIMM ALES LLC","GRIMM","990 METROPOLITAN AVE","","BROOKLYN","NY",11211,881816,2017-08-24,2017-08-24,2020-07-31,40.7144,-73.93651,"(40.7144, -73.93651)"
"338",1258274,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","KINGS COUNTY DISTILLERY LLC","","63 FLUSHING AVE","BROOKLYN NAVY YARD BLDG 121","BROOKLYN","NY",11205,999999,2012-03-27,2016-03-14,2022-04-30,40.69801436,-73.9750594,"(40.69801436, -73.9750594)"
"339",1274648,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","VAN BRUNT STILLHOUSE LLC","VAN BRUNT STILLHOUSE","6 BAY ST","1ST FL BTWN OSTEGO & COLUMBIA","BROOKLYN","NY",11231,890047,2014-04-28,2017-04-05,2020-03-31,40.67378812,-74.01003348,"(40.67378812, -74.01003348)"
"341",1284184,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","INDUSTRY CITY DISTILLERY INC","","33 35TH ST","BLDG 5, 6TH FL  SUITE 6A SOUTH","BROOKLYN","NY",11232,914542,2015-05-06,2019-05-01,2022-04-30,40.59885,-73.99062,"(40.59885, -73.99062)"
"342",1269706,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","TWENTY SPOKE LLC","SAINT AGRESTIS","24 15TH ST UNIT 203","","BROOKLYN","NY",11215,889770,2014-01-06,2017-03-24,2019-12-31,40.66867499,-73.99571594,"(40.66867499, -73.99571594)"
"343",1295016,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","MOTO SPIRITS LLC","VRW DISTILLERS","5 CENTRAL AVE","SUITE 10","BROOKLYN","NY",11206,919667,2016-08-18,2019-08-01,2022-07-31,40.70263,-73.93291,"(40.70263, -73.93291)"
"344",1314201,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","STANDARD SPIRIT CORPORATION","STANDARD SPIRIT DISTILLERY","630 FLUSHING AVE","STE 650","BROOKLYN","NY",11206,999999,2019-01-28,2019-09-01,2022-08-31,40.69989,-73.94819,"(40.69989, -73.94819)"
"345",1272833,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","DOC'S SPIRITS LLC","DOC HERSON'S NATURAL SPIRITS","630 FLUSHING AVE SUITE 628","","BROOKLYN","NY",11206,884963,2013-10-30,2016-10-04,2019-09-30,40.69999322,-73.94828041,"(40.69999322, -73.94828041)"
"346",1234979,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","BREUCKELEN DISTILLING COMPANY INC","NEW ORANGE","75 77 19TH STREET UNIT A","","BROOKLYN","NY",11232,918071,2010-06-04,2019-06-01,2022-05-31,40.63143857,-74.03407022,"(40.63143857, -74.03407022)"
"347",1260024,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","GREEN FARMS II LLC","GREENHOOK GINSMITHS","208 DUPONT ST","","BROOKLYN","NY",11222,888000,2013-01-02,2017-01-24,2019-12-31,40.73619511,-73.95179315,"(40.73619511, -73.95179315)"
"348",1290994,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","DISRUPTION GRAIN LLC","INTERBORO SPIRITS & ALES","942 GRAND ST","","BROOKLYN","NY",11211,919330,2016-07-28,2019-07-01,2022-06-30,40.71272,-73.93697,"(40.71272, -73.93697)"
"349",1312227,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","PROOF OF CONCEPT LLC","","86 34TH ST","C134","BROOKLYN","NY",11232,999999,2018-10-03,2018-12-01,2021-11-30,40.7588,-73.92481,"(40.7588, -73.92481)"
"350",1296031,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","SADDEN BROTHERS & CO DISTILLING CORP","","69 POWELL ST","","BROOKLYN","NY",11212,889356,2017-05-18,2017-05-18,2020-04-30,40.6729,-73.90464,"(40.6729, -73.90464)"
"351",1305188,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","MKJ INNOVATIONS CORP","","36 WAVERLY AVE","UNIT 207","BROOKLYN","NY",11205,903165,2018-04-03,2018-08-01,2021-07-31,40.69672,-73.96862,"(40.69672, -73.96862)"
"352",1236027,"FARM DISTILLER ""D""",207,"DD","New York City",1,"KINGS","NEW YORK DISTILLING COMPANY LLC","NEW YORK DISTILLING","405 LEONARD STREET","RICHARDSON & BAYARD STREETS","BROOKLYN","NY",11222,880975,2011-08-09,2016-08-01,2020-07-31,40.71855442,-73.94851072,"(40.71855442, -73.94851072)"
"353",1268251,"MICRO BREWER",101,"MI","New York City",1,"KINGS","7 N 15TH ST CORP","GREENPOINT BEER & ALE CO","7 N 15TH ST","","BROOKLYN","NY",11222,919542,2013-08-07,2019-08-01,2020-07-31,40.72495122,-73.95731001,"(40.72495122, -73.95731001)"
"354",1188563,"MICRO BREWER",101,"MI","New York City",1,"KINGS","MAD SCIENTISTS BREWING PARTNERS,LLC","SIXPOINT CRAFT ALES,SIXPOINT BREWERY","40 VAN DYKE ST","DWIGHT ST & RICHARDS ST","BROOKLYN","NY",11231,908564,2007-11-06,2018-11-01,2019-10-31,40.67385407,-74.01204466,"(40.67385407, -74.01204466)"
"355",1315626,"MICRO BREWER",101,"MI","New York City",1,"KINGS","TRANSMITTER BREWING LLC","","141 FLUSHING AVE","BLDG 77, SUITE 104","BROOKLYN","NY",11205,915634,2019-05-06,2019-05-06,2020-02-29,40.69791,-73.97116,"(40.69791, -73.97116)"
"356",1310132,"MICRO BREWER",101,"MI","New York City",1,"KINGS","BRAVEN BREWING COMPANY LLC","","52 HARRISON PL","","BROOKLYN","NY",11237,999999,2018-08-14,2018-08-14,2021-07-31,40.70634,-73.93136,"(40.70634, -73.93136)"
"357",1266867,"MICRO BREWER",101,"MI","New York City",1,"KINGS","OTHER HALF BREWING COMPANY INC","","195 CENTRE ST","AKA 191-197 CENTRE ST ETAL","BROOKLYN","NY",11231,999999,2013-05-02,2018-05-01,2021-04-30,40.67366514,-73.99909135,"(40.67366514, -73.99909135)"
"358",1276638,"MICRO BREWER",101,"MI","New York City",1,"KINGS","FOLKSBIER BRAUEREI LLC","FOLKSBIER","103 LUQUER ST","","BROOKLYN","NY",11231,915211,2014-05-05,2019-05-06,2020-04-30,40.6779,-74.00099,"(40.6779, -74.00099)"
"359",1272700,"MICRO BREWER",101,"MI","New York City",1,"KINGS","THREEFOLD HOLDINGS LLC","THREES BREWING","333 339 DOUGLAS ST","","BROOKLYN","NY",11217,909032,2014-11-06,2018-11-01,2019-10-31,40.6795921,-73.98219455,"(40.6795921, -73.98219455)"
"360",1290462,"MICRO BREWER",101,"MI","New York City",1,"KINGS","KINGS COUNTY BREWERS COLLECTIVE LLC","","381 TROUTMAN ST","","BROOKLYN","NY",11237,999999,2016-06-09,2018-08-01,2020-07-31,40.70601,-73.92358,"(40.70601, -73.92358)"
"361",1298441,"MICRO BREWER",101,"MI","New York City",1,"KINGS","GRIMM ALES LLC","GRIMM","990 METROPOLITAN AVE","","BROOKLYN","NY",11211,881817,2017-08-24,2017-08-24,2020-07-31,40.7144,-73.93651,"(40.7144, -73.93651)"
"362",1293083,"MICRO BREWER",101,"MI","New York City",1,"KINGS","5 BOROUGHS BREWERY INC","FIVE BOROUGHS BREWING CO","215 47TH ST","","BROOKLYN","NY",11220,895629,2017-01-26,2018-01-01,2020-12-31,40.65059,-74.01478,"(40.65059, -74.01478)"
"363",1290993,"MICRO BREWER",101,"MI","New York City",1,"KINGS","DISRUPTION GRAIN LLC","INTERBORO SPIRITS & ALES","942 GRAND ST","","BROOKLYN","NY",11211,919325,2016-07-28,2019-07-01,2020-06-30,40.71272,-73.93697,"(40.71272, -73.93697)"
"364",1294670,"RESTAURANT BREWER",210,"MR","New York City",1,"KINGS","77 SANDS RG LLC","RANDOLPH BEER","77 SANDS ST","","BROOKLYN","NY",11201,882144,2017-11-08,2017-11-08,2020-10-31,40.70032,-73.98723,"(40.70032, -73.98723)"
"366",1299990,"RESTAURANT BREWER",210,"MR","New York City",1,"KINGS","BEERBERRY CORP","TAP BEER","1781 SHEEPSHEAD BAY RD","","BROOKLYN","NY",11235,882253,2017-12-04,2017-12-04,2020-11-30,40.58358,-73.95035,"(40.58358, -73.95035)"
"367",1294718,"RESTAURANT BREWER",210,"MR","New York City",1,"KINGS","141 LAWRENCE REST LLC","CIRCA BREWING COMPANY","141 LAWRENCE ST","","BROOKLYN","NY",11201,881661,2017-07-19,2017-07-19,2020-06-30,40.69198,-73.9862,"(40.69198, -73.9862)"
"368",1238306,"WINERY",301,"DW","New York City",1,"KINGS","COIFFE CELLARS CORP","MA LUNG WINERY","276 GREENPOINT AVE","UNIT 8125","BROOKLYN","NY",11222,886225,2010-10-28,2016-10-01,2019-09-30,40.73071874,-73.94879976,"(40.73071874, -73.94879976)"
"369",1304265,"WINERY",301,"DW","New York City",1,"KINGS","GOTHAM SAKE LLC","BROOKLYN KURA","68 34TH ST","BLDG 6 STE B24","BROOKLYN","NY",11232,894946,2017-10-16,2017-10-16,2020-09-30,40.75924,-73.92449,"(40.75924, -73.92449)"
"371",1275362,"WINERY",301,"DW","New York City",1,"KINGS","GOBLET WINE INC","GOBLET","6010 20TH AVE","","BROOKLYN","NY",11204,892457,2014-07-21,2017-07-01,2020-06-30,40.61930923,-73.98296096,"(40.61930923, -73.98296096)"
"372",1244749,"WINERY",301,"DW","New York City",1,"KINGS","BROOKLYN WINERY LLC","BROOKLYN WINERY","213 N 8TH STREET","DRIGGS & ROEBLING","BROOKLYN","NY",11211,911376,2011-01-07,2019-01-01,2021-12-31,40.71721959,-73.95512328,"(40.71721959, -73.95512328)"
"373",1308738,"WINERY",301,"DW","New York City",1,"KINGS","GREEN FARMS II LLC","","208 DUPONT ST","","BROOKLYN","NY",11222,898275,2018-06-11,2018-06-11,2021-05-31,40.73616,-73.95109,"(40.73616, -73.95109)"
"374",1308030,"WINERY",301,"DW","New York City",1,"KINGS","ARON ROSENBERG ENTERPRISES LLC","BEN ISH WINERY","3711 13TH AVE","","BROOKLYN","NY",11218,898059,2018-03-19,2018-03-19,2020-03-31,40.64141,-73.98527,"(40.64141, -73.98527)"
"375",2213025,"FARM BREWER",106,"FD","Albany",2,"LEWIS","RC SPOT LLC","SKEWED BREWING","5501 TRINITY AVE","","LOWVILLE","NY",13367,99999,2018-08-17,2019-08-01,2021-07-31,43.79051,-75.48777,"(43.79051, -75.48777)"
"376",2206038,"FARM DISTILLER ""D""",207,"DD","Albany",2,"LEWIS","NORTH COUNTRY LANDSCAPING & NURSERY INC","TUG HILL VINEYARDS","4051 YANCEY RD","","LOWVILLE","NY",13367,889129,2017-03-29,2017-03-29,2020-02-29,43.82181,-75.57846,"(43.82181, -75.57846)"
"377",2148126,"FARM WINERY",302,"FW","Albany",2,"LEWIS","NORTH COUNTRY LANDSCAPING & NURSERY INC","TUG HILL VINEYARDS","4051 YANCEY ROAD","STATE RT 12 & PORTER RD","LOWVILLE","NY",13367,883989,2009-09-18,2016-09-01,2019-08-31,43.81974097,-75.57570857,"(43.81974097, -75.57570857)"
"378",2204298,"FARM WINERY",302,"FW","Albany",2,"LEWIS","WHITE CAPS WINERY LLC","WHITE CAPS WINERY","4051 YANCEY RD","","LOWVILLE","NY",13367,848608,2017-02-01,2017-02-01,2020-01-31,44.05807,-76.13804,"(44.05807, -76.13804)"
"379",2213024,"MICRO BREWER",101,"MI","Albany",2,"LEWIS","RC SPOT LLC","SKEWED BREWING","5501 TRINITY AVE","","LOWVILLE","NY",13367,99999,2018-08-17,2019-08-01,2021-07-31,43.79051,-75.48777,"(43.79051, -75.48777)"
"380",3159060,"FARM BREWER",106,"FD","Buffalo",3,"LIVINGSTON","BATTLE STREET BREWERY LLC","","4 BATTLE ST","","DANSVILLE","NY",14437,911204,2018-01-30,2019-01-01,2019-12-31,42.56153,-77.69897,"(42.56153, -77.69897)"
"381",3154931,"FARM BREWER",106,"FD","Buffalo",3,"LIVINGSTON","DUBLIN CORNERS FARM BREWERY LLC","","1906 MAIN ST","","LINWOOD","NY",14486,914048,2015-04-01,2019-04-01,2020-03-31,42.90296,-77.88078,"(42.90296, -77.88078)"
"382",3161759,"FARM BREWER",106,"FD","Buffalo",3,"LIVINGSTON","NO BS BREW COMPANY LLC","","3474 BRONSON HILL RD","","LIVONIA","NY",14487,99999,2019-01-30,2019-01-30,2021-12-31,42.83377,-77.69192,"(42.83377, -77.69192)"
"383",3160477,"FARM BREWER",106,"FD","Buffalo",3,"LIVINGSTON","RISING STORM BREWING COMPANY LLC","","5750 S LIMA RD","UNIT 1","LIVONIA","NY",14414,999999,2018-06-13,2018-06-13,2021-05-31,42.85495,-77.70637,"(42.85495, -77.70637)"
"384",3158132,"FARM WINERY",302,"FW","Buffalo",3,"LIVINGSTON","JANSTAN VINEYARDS LLC","JANSTAN VINEYARDS","6442 STAGECOACH RD","","CONESUS","NY",14435,889369,2017-05-19,2017-05-19,2020-04-30,42.70685,-77.67581,"(42.70685, -77.67581)"
"385",3156512,"FARM WINERY",302,"FW","Buffalo",3,"LIVINGSTON","OLD STUMPBLOWER CIDER WORKS LLC","ORIGINAL STUMP BLOWER CIDERWORKS; OSB CIDERWORKS","5901 BIG TREE RD","","LAKEVILLE","NY",14480,913278,2016-03-24,2019-03-01,2022-02-28,42.83573,-77.69867,"(42.83573, -77.69867)"
"386",3118005,"FARM WINERY",302,"FW","Buffalo",3,"LIVINGSTON","DEER RUN ENTERPRISES INC","DEER RUN WINERY","3772 W LAKE RD","","GENESEO","NY",14454,884270,2003-10-27,2016-10-01,2019-09-30,42.82325628,-77.71606877,"(42.82325628, -77.71606877)"
"387",3161760,"MICRO BREWER",101,"MI","Buffalo",3,"LIVINGSTON","NO BS BREW COMPANY LLC","","3474 BRONSON HILL RD","","LIVONIA","NY",14487,99999,2019-01-30,2019-01-30,2021-12-31,42.83377,-77.69192,"(42.83377, -77.69192)"
"388",3160492,"MICRO BREWER",101,"MI","Buffalo",3,"LIVINGSTON","MORTALIS BREWING COMPANY LLC","MORTALIS BREWING COMPANY","5660 TEC DR","","AVON","NY",14414,918655,2018-08-08,2019-08-01,2020-07-31,42.91247,-77.70081,"(42.91247, -77.70081)"
"389",3160478,"MICRO BREWER",101,"MI","Buffalo",3,"LIVINGSTON","RISING STORM BREWING COMPANY LLC","","5750 S LIMA RD","UNIT 1","LIVONIA","NY",14414,9999999,2018-06-13,2018-06-13,2021-05-31,42.85495,-77.70637,"(42.85495, -77.70637)"
"390",3111402,"WINERY",301,"DW","Buffalo",3,"LIVINGSTON","EAGLE CREST VINEYARDS LLC","","7107 VINEYARD ROAD","","CONESUS","NY",14435,915225,2002-06-20,2019-06-01,2022-05-31,42.73981742,-77.62291699,"(42.73981742, -77.62291699)"
"391",2204866,"DISTILLER ""A-1""",206,"DA","Albany",2,"MADISON","MADISON COUNTY DISTILLERY LLC","MADISON COUNTY DISTILLERY","2412 RTE 20","","CAZENOVIA","NY",13035,886080,2016-11-14,2016-11-14,2019-10-31,42.92302,-75.83548,"(42.92302, -75.83548)"
"392",2207132,"FARM BREWER",106,"FD","Albany",2,"MADISON","LARRY F FISHER AND KATHLYN W FISHER","FOOTHILL HOPS","5024 BEAR PATH RD","","MUNNSVILLE","NY",13409,918720,2017-07-19,2019-07-01,2020-06-30,42.96581,-75.58633,"(42.96581, -75.58633)"
"393",2202108,"FARM BREWER",106,"FD","Albany",2,"MADISON","EMPIRE FARMSTEAD BREWERY INC","EMPIRE BREWING COMPANY","33 RIPPLETON RD","","CAZENOVIA","NY",13035,918097,2016-06-03,2019-06-01,2020-05-31,42.92086,-75.86302,"(42.92086, -75.86302)"
"394",2209231,"FARM BREWER",106,"FD","Albany",2,"MADISON","GOOD NATURE BREWING INC","GOOD NATURE FARM BREWERY & TAP ROOM","1727 STATE RTE 12B","","HAMILTON","NY",13346,99999,2018-01-23,2018-03-01,2021-02-28,42.80662,-75.54697,"(42.80662, -75.54697)"
"395",2192382,"FARM BREWER",106,"FD","Albany",2,"MADISON","ERIE CANAL BREWING COMPANY LLC","","135 JAMES ST","","CANASTOTA","NY",13032,919619,2013-08-30,2019-08-01,2020-07-31,43.07639453,-75.75312972,"(43.07639453, -75.75312972)"
"396",2200951,"FARM BREWER",106,"FD","Albany",2,"MADISON","CRITZ FARMS INC","CRITZ FARMS BREWING AND CIDER COMPANY","3232 RIPPLETON RD","","CAZENOVIA","NY",13035,909695,2015-11-16,2018-11-01,2019-10-31,42.88144,-75.87284,"(42.88144, -75.87284)"
"398",2200171,"FARM DISTILLER ""D""",207,"DD","Albany",2,"MADISON","FORSTER JARVIS LLC","OLD HOME DISTILLERS","964 CAMPBELL RD","","LEBANON","NY",13332,883995,2015-10-31,2016-10-01,2019-09-30,42.76841,-75.65518,"(42.76841, -75.65518)"
"399",2204867,"FARM DISTILLER ""D""",207,"DD","Albany",2,"MADISON","MADISON COUNTY DISTILLERY LLC","MADISON COUNTY DISTILLERY","2412 RTE 20","","CAZENOVIA","NY",13035,886081,2016-11-14,2016-11-14,2019-10-31,42.92302,-75.83548,"(42.92302, -75.83548)"
